Département - commune;Département;Population sans doubles comptes 1999;Département - commune;Département;Population sans doubles comptes 1999
80334;Fossemanant;110;;;
80335;Foucaucourt-en-Santerre;223;;;
80336;Foucaucourt-Hors-Nesle;68;;;
80337;Fouencamps;239;;;
80338;Fouilloy;1 734;;;
80339;Fouquescourt;127;;;
80340;Fourcigny;131;;;
80341;Fourdrinoy;326;;;
80342;Framerville-Rainecourt;296;;;
80343;Framicourt;151;;;
80344;Francières;127;;;
80345;Franleu;523;;;
80346;Franqueville;108;;;
80347;Fransart;121;;;
80348;Fransu;104;;;
80349;Fransures;107;;;
80350;Franvillers;493;;;
80351;Fréchencourt;227;;;
80352;Frémontiers;180;;;
80353;Fresnes-Mazancourt;134;;;
80354;Fresnes-Tilloloy;137;;;
80355;Fresneville;78;;;
80356;Fresnoy-Andainville;80;;;
80357;Fresnoy-au-Val;225;;;
80358;Fresnoy-en-Chaussée;111;;;
80359;Fresnoy-lès-Roye;266;;;
80360;Fressenneville;2 334;;;
80361;Frettecuisse;68;;;
80362;Frettemeule;238;;;
80364;Friaucourt;669;;;
80365;Fricamps;104;;;
80366;Fricourt;448;;;
80367;Frise;158;;;
80368;Friville-Escarbotin;4 646;;;
80369;Frohen-sur-Authie;199;;;
80371;Froyelles;66;;;
80372;Frucourt;121;;;
80373;Gamaches;2 949;;;
80374;Gapennes;218;;;
80375;Gauville;397;;;
80376;Gentelles;461;;;
80377;Gézaincourt;466;;;
80378;Ginchy;56;;;
80379;Glisy;483;;;
80380;Gorenflos;232;;;
80381;Gorges;47;;;
80383;Goyencourt;89;;;
80384;Grandcourt;176;;;
80385;Grand-Laviers;372;;;
80386;Gratibus;172;;;
80387;Grattepanche;269;;;
80388;Grébault-Mesnil;113;;;
80389;Grécourt;26;;;
80390;Grivesnes;291;;;
80391;Grivillers;61;;;
80392;Grouches-Luchuel;472;;;
80393;Gruny;300;;;
80395;Guerbigny;233;;;
80396;Gueschart;324;;;
80397;Gueudecourt;104;;;
80399;Guignemicourt;245;;;
80400;Guillaucourt;305;;;
80401;Guillemont;114;;;
80402;Guizancourt;105;;;
80403;Guyencourt-sur-Noye;201;;;
80404;Guyencourt-Saulcourt;148;;;
80405;Hailles;332;;;
80406;Hallencourt;1 348;;;
80407;Hallivillers;116;;;
80408;Halloy-lès-Pernois;355;;;
80409;Hallu;154;;;
80410;Ham;5 398;;;
80411;Le Hamel;519;;;
80412;Hamelet;412;;;
80413;Hancourt;100;;;
80414;Hangard;100;;;
80415;Hangest-en-Santerre;839;;;
80416;Hangest-sur-Somme;695;;;
80417;Harbonnières;1 305;;;
80418;Hardecourt-aux-Bois;84;;;
80419;Hargicourt;357;;;
80420;Harponville;125;;;
80421;Hattencourt;237;;;
